UF;COD_CINE_ROTULO;SALARIO_MEDIO
AL;0011A01;1214
AL;0011A02;1464,97272727273
AL;0011A03;4920,98319727891
AL;0011A04;4658,77812274368
AL;0011A05;1934,46372413793
AL;0011A06;3353,273
AL;0011A07;3951,02
AL;0011A08;10797,5959663866
AL;0011A09;13892,4775
AL;0011A10;4658,77812274368
AL;0111P02;1975,77897435897
AL;0112E01;3137,68084683955
AL;0113E01;4178,67486607143
AL;0113E02;4178,67486607143
AL;0113E03;4178,67486607143
AL;0113F01;4178,67486607143
AL;0113P01;4178,67486607143
AL;0114A01;2651,59108843537
AL;0114A02;12923,157
AL;0114B01;1555,28276785714
AL;0114C01;33760,4863636364
AL;0114C02;1934,46372413793
AL;0114C04;2129,89
AL;0114C05;14114,797804878
AL;0114D01;768,767627118644
AL;0114E01;16772,7082857143
AL;0114E02;4178,67486607143
AL;0114E03;1995,90705761317
AL;0114E04;4178,67486607143
AL;0114E05;513,703636363636
AL;0114E06;4178,67486607143
AL;0114E07;4178,67486607143
AL;0114E08;22407,34
AL;0114F01;1335,99515625
AL;0114F02;1676,30946236559
AL;0114G01;2362,03282131661
AL;0114H01;1100
AL;0114M01;2609,6293575419
AL;0114M02;8927,97553191489
AL;0114Q01;1919,8654368932
AL;0115L02;1808,17411764706
AL;0115L03;1808,17411764706
AL;0115L04;1808,17411764706
AL;0115L05;1808,17411764706
AL;0115L06;1808,17411764706
AL;0115L07;1808,17411764706
AL;0115L08;1808,17411764706
AL;0115L09;1808,17411764706
AL;0115L10;1808,17411764706
AL;0115L11;1808,17411764706
AL;0115L12;1808,17411764706
AL;0115L13;1808,17411764706
AL;0115L14;1808,17411764706
AL;0115L15;1808,17411764706
AL;0115L16;1808,17411764706
AL;0115L17;1808,17411764706
AL;0115L18;1808,17411764706
AL;0115L19;1808,17411764706
AL;0115L20;1808,17411764706
AL;0115L21;4507,92
AL;0188P01;3137,68084683955
AL;0211A01;976,4825
AL;0211C01;976,4825
AL;0211C02;976,4825
AL;0211D01;976,4825
AL;0211F01;976,4825
AL;0211P01;976,4825
AL;0211P02;976,4825
AL;0211P03;976,4825
AL;0211P04;976,4825
AL;0211P05;976,4825
AL;0212D01;1895,02277027027
AL;0212D02;2455,58142857143
AL;0212D03;1679,01476190476
AL;0212D04;1855,005
AL;0213A01;1464,97272727273
AL;0213A02;1464,97272727273
AL;0213A03;1464,97272727273
AL;0213H01;1464,97272727273
AL;0215A01;1464,97272727273
AL;0215D01;1464,97272727273
AL;0215M01;1464,97272727273
AL;0215T01;1464,97272727273
AL;0221C01;1600
AL;0221T01;1600
AL;0222A01;4543,125
AL;0222H01;1100
AL;0231L02;4181,04194736842
AL;0231L03;4181,04194736842
AL;0231L04;4181,04194736842
AL;0231L05;4181,04194736842
AL;0231L06;4181,04194736842
AL;0231L07;4181,04194736842
AL;0231L08;4181,04194736842
AL;0231L09;4181,04194736842
AL;0231L10;4181,04194736842
AL;0231L11;4181,04194736842
AL;0231L12;4181,04194736842
AL;0231L13;4181,04194736842
AL;0231L14;4181,04194736842
AL;0231L15;4181,04194736842
AL;0231L16;4181,04194736842
AL;0231L17;4181,04194736842
AL;0231L18;4181,04194736842
AL;0231L19;4181,04194736842
AL;0231L20;4181,04194736842
AL;0231L21;4181,04194736842
AL;0231L22;4507,92
AL;0288P01;1464,97272727273
AL;0311E01;7651,32256410257
AL;0313P01;2911,37310344828
AL;0321C01;4920,98319727891
AL;0321J01;4920,98319727891
AL;0321P01;4920,98319727891
AL;0321R01;4920,98319727891
AL;0322A01;3345,1146031746
AL;0322B01;6291,085859375
AL;0322G01;3321,46
AL;0322M01;6188,87285714286
AL;0388P01;4920,98319727891
AL;0411C01;4567,50008501594
AL;0411G01;4567,50008501594
AL;0412G01;9210,14990623535
AL;0412S01;9210,14990623535
AL;0413A01;4658,77812274368
AL;0413A02;4658,77812274368
AL;0413C01;4658,77812274368
AL;0413E01;4658,77812274368
AL;0413G01;4658,77812274368
AL;0413G02;4658,77812274368
AL;0413G03;4658,77812274368
AL;0413G04;4658,77812274368
AL;0413G05;4658,77812274368
AL;0413G06;4658,77812274368
AL;0413G07;4658,77812274368
AL;0413G08;4658,77812274368
AL;0413G09;4658,77812274368
AL;0413G10;4658,77812274368
AL;0413G11;4658,77812274368
AL;0413G12;4658,77812274368
AL;0413L01;4658,77812274368
AL;0414M01;4658,77812274368
AL;0414P01;3606,521
AL;0414R01;3606,521
AL;0415S01;3555,25495708155
AL;0416G01;9288,948
AL;0416N01;9288,948
AL;0421D01;5471,57215584416
AL;0421S01;3500
AL;0488P01;4658,77812274368
AL;0511B01;5165,20475609756
AL;0512B01;2505,61
AL;0512B02;2505,61
AL;0512T01;2505,61
AL;0521C01;2358,97554216867
AL;0521E01;2358,97554216867
AL;0531Q01;3953,20755555556
AL;0531Q02;11981,482
AL;0532G02;5412,41
AL;0532G03;5412,41
AL;0533A01;6045,97
AL;0533F01;6045,97
AL;0533F02;6045,97
AL;0533F03;6045,97
AL;0542C01;1275,56
AL;0542E01;12139,995
