Estado,COD_CINE_ROTULO,Média de Salário UF
RO,0617C03,"1872,5896736599"
RO,0215D01,"1731,5715381856"
RO,0114D01,"1826,44265367753"
RO,0612D01,"4552,23023831116"
RO,0212D01,"2871,39052639438"
RO,0212D02,"3089,21578435209"
RO,0212D03,"13439,4277937407"
RO,0212D04,"4053,14231902183"
RO,0211D01,"2785,21321861352"
RO,0421D01,"14028,3633746842"
RO,0521E01,"6599,59279216645"
RO,0311E01,"6933,86925579492"
RO,1011E01,"6534,63488545593"
RO,0114E01,"8833,88769922263"
RO,0114E02,"9707,13022134282"
RO,0113E01,"9707,13022134282"
RO,0113E02,"5799,19596325224"
RO,0915E01,"4424,06893794779"
RO,0114E03,"4430,29985637298"
RO,0114E04,"5568,55715276649"
RO,0113E03,"6204,55579083244"
RO,0112E01,"5010,04639694355"
RO,0714E01,"11301,3661225212"
RO,0713E01,"11393,8626353865"
RO,0413E01,"5437,30809962474"
RO,0713E02,"10202,1986116308"
RO,0913E01,"4611,15295147196"
RO,0114E05,"5091,55767225345"
RO,0710E01,"12722,2218689859"
RO,0714E02,"17731,5516529094"
RO,0716E01,
RO,0811E01,"9288,86749402251"
RO,0712E01,"6785,76555761414"
RO,0712E02,"6785,76555761414"
RO,0716E03,"10426,4782062346"
RO,0713E03,"13618,6316656475"
RO,0714E03,"17731,5516529094"
RO,0711E01,"14101,0078291084"
RO,0731E01,"2558,11170793861"
RO,0732E01,"13893,0589519905"
RO,0731E02,"5942,0332565589"
RO,0731E03,"5942,0332565589"
RO,0721E01,"14242,5118417792"
RO,0711E02,"14101,0078291084"
RO,0811E02,"9288,86749402251"
RO,0711E03,"14101,0078291084"
RO,0616E01,"5004,35564385154"
RO,0714E04,"7190,84895592984"
RO,0714E05,"11957,2076809871"
RO,0713E04,"13618,6316656475"
RO,0714E06,"10597,405576656"
RO,0725E01,"7406,13512522385"
RO,0722E01,
RO,0724E01,"5485,50615408275"
RO,0711E04,"14101,0078291084"
RO,0831E01,"8822,56052593071"
RO,0724E02,"5485,50615408275"
RO,0725E02,"7406,13512522385"
RO,0732E02,"12218,3816345267"
RO,0613E01,"1872,5896736599"
RO,0714E07,"13276,1559907248"
RO,0732E03,"14230,9037346086"
RO,0713E05,"16341,3293314483"
RO,0714E08,"17025,8882581123"
RO,0716E04,
RO,0715E01,"12587,0350656356"
RO,0821E01,"8738,79457680052"
RO,0724E03,"5485,50615408275"
RO,0725E03,"7406,13512522385"
RO,0715E02,"8880,41046313936"
RO,0714E09,"10140,6521543078"
RO,0715E03,"17125,969763821"
RO,0716E05,
RO,0713E06,"9349,1815449971"
RO,0732E04,"8984,52835708105"
RO,0711E05,"14101,0078291084"
RO,0114E06,"4679,1863157513"
RO,0114E07,"6662,01668711344"
RO,0542E01,"6584,35179297638"
RO,0114E08,"15370,9952005903"
RO,1012E01,"1951,10804017656"
RO,0732E05,"8630,20988089225"
RO,1015E01,"2044,66349999034"
RO,0214F01,"1711,80804748509"
RO,0715F01,"6048,5275801705"
RO,0916F01,"5094,62173777025"
RO,0223F01,"12237,2590182607"
RO,0114F01,"12237,2590182607"
RO,0533F01,"12495,1473071646"
RO,0533F02,"11256,5961859326"
RO,0114F02,"10936,1789975294"
RO,0533F03,"11211,8035983242"
RO,0915F01,"3363,10256958799"
RO,0915F02,"3829,99909158606"
RO,1014F01,"2939,16264934592"
RO,0113F01,"7130,95835275912"
RO,0211F02,"1634,28896627154"
RO,0811F01,"9288,86749402251"
RO,1013G01,"3145,20937866178"
RO,0532G01,
RO,0312G01,"11582,792325769"
RO,0114G01,"10593,730560161"
RO,0532G02,"9769,55214265606"
RO,0532G03,"12800,9573138943"
RO,0921G01,
RO,0712G01,"6785,76555761414"
RO,0416G01,"5173,27931328912"
RO,0322G01,"9380,47854372881"
RO,0413G01,"6363,94911527692"
RO,0413G02,"3684,86772951128"
RO,0413G03,"4554,44816529191"
RO,0612G01,
